cell_id,lat,lon,year,nTrees,meanAge,meanHeight,temperature,precipitation
c155,35.8930,-119.3629,2024,10,1.0,0.8341,312.7072,572.9768
c174,35.8930,-118.7657,2024,10,1.0,0.8083,311.4888,451.1201
c194,35.8930,-118.1371,2024,10,1.0,0.0047,311.5572,313.2179
c755,36.2650,-119.3629,2024,10,1.0,0.9924,300.4544,600.9132
c774,36.2650,-118.7657,2024,10,1.0,0.0870,300.0048,360.7234
c794,36.2650,-118.1371,2024,10,1.0,0.0000,299.2853,213.2412
c1355,36.6370,-119.3629,2024,10,1.0,0.8389,288.1865,454.3565
c1374,36.6370,-118.7657,2024,10,1.0,0.3655,287.9903,395.8893
c1394,36.6370,-118.1371,2024,10,1.0,0.0002,287.2515,264.1091
c155,35.8930,-119.3629,2025,10,2.0,1.6539,312.8112,483.5960
c174,35.8930,-118.7657,2025,10,2.0,1.5777,312.5009,459.2918
c194,35.8930,-118.1371,2025,10,2.0,0.0384,312.3185,347.1214
c755,36.2650,-119.3629,2025,10,2.0,2.0124,299.8527,529.6723
c774,36.2650,-118.7657,2025,10,2.0,0.2927,299.0966,377.6989
c794,36.2650,-118.1371,2025,10,2.0,0.0467,300.3747,349.4089
c1355,36.6370,-119.3629,2025,10,2.0,1.6816,288.0665,516.9232
c1374,36.6370,-118.7657,2025,10,2.0,1.0287,287.7795,423.6895
c1394,36.6370,-118.1371,2025,10,2.0,0.0003,287.9972,247.0823
c155,35.8930,-119.3629,2026,10,3.0,2.4842,312.2368,498.9519
c174,35.8930,-118.7657,2026,10,3.0,2.4121,311.3333,479.8158
c194,35.8930,-118.1371,2026,10,3.0,0.0463,311.8668,322.2692
c755,36.2650,-119.3629,2026,10,3.0,3.0343,299.3511,488.8216
c774,36.2650,-118.7657,2026,10,3.0,0.4148,299.5885,366.8110
c794,36.2650,-118.1371,2026,10,3.0,0.0526,300.3510,314.5368
c1355,36.6370,-119.3629,2026,10,3.0,2.5425,289.0877,494.2988
c1374,36.6370,-118.7657,2026,10,3.0,1.7686,287.8287,429.6189
c1394,36.6370,-118.1371,2026,10,3.0,0.0063,288.2294,317.8961
c155,35.8930,-119.3629,2027,10,4.0,3.3094,311.6186,560.5066
c174,35.8930,-118.7657,2027,10,4.0,3.1371,312.4532,434.4406
c194,35.8930,-118.1371,2027,10,4.0,0.0574,312.1327,328.3736
c755,36.2650,-119.3629,2027,10,4.0,4.0269,300.6123,479.2464
c774,36.2650,-118.7657,2027,10,4.0,1.1395,300.4362,415.9980
c794,36.2650,-118.1371,2027,10,4.0,0.0542,300.6147,293.0636
c1355,36.6370,-119.3629,2027,10,4.0,3.4015,288.3681,482.1152
c1374,36.6370,-118.7657,2027,10,4.0,2.5961,287.6154,508.8136
c1394,36.6370,-118.1371,2027,10,4.0,0.0084,288.4606,299.8601
c155,35.8930,-119.3629,2028,10,5.0,4.1506,312.1245,510.2679
c174,35.8930,-118.7657,2028,10,5.0,3.2757,311.9357,373.1991
c194,35.8930,-118.1371,2028,10,5.0,0.0576,312.9657,255.8052
c755,36.2650,-119.3629,2028,10,5.0,4.9973,300.1835,479.4451
c774,36.2650,-118.7657,2028,10,5.0,1.4012,300.7777,382.9579
c794,36.2650,-118.1371,2028,10,5.0,0.0740,300.4785,335.1370
c1355,36.6370,-119.3629,2028,10,5.0,4.2656,288.2651,564.7405
c1374,36.6370,-118.7657,2028,10,5.0,3.0592,288.1943,403.6477
c1394,36.6370,-118.1371,2028,10,5.0,0.0098,288.1821,293.1756
c155,35.8930,-119.3629,2029,10,6.0,4.9764,312.5465,496.7548
c174,35.8930,-118.7657,2029,10,6.0,3.8842,312.1091,416.6915
c194,35.8930,-118.1371,2029,10,6.0,0.0582,312.1929,281.6244
c755,36.2650,-119.3629,2029,10,6.0,5.9870,300.2699,511.1980
c774,36.2650,-118.7657,2029,10,6.0,2.1249,300.8704,417.6446
c794,36.2650,-118.1371,2029,10,6.0,0.0740,300.8449,227.1969
c1355,36.6370,-119.3629,2029,10,6.0,5.1264,288.4182,553.5516
c1374,36.6370,-118.7657,2029,10,6.0,3.0852,287.8381,342.4809
c1394,36.6370,-118.1371,2029,10,6.0,0.0102,288.6833,271.2089
c155,35.8930,-119.3629,2030,10,7.0,5.8062,312.5685,584.1901
c174,35.8930,-118.7657,2030,10,7.0,4.2171,312.0312,392.8995
c194,35.8930,-118.1371,2030,10,7.0,0.0673,311.6259,324.8999
c755,36.2650,-119.3629,2030,10,7.0,6.9597,300.3080,501.0156
c774,36.2650,-118.7657,2030,10,7.0,2.7710,299.8511,409.7306
c794,36.2650,-118.1371,2030,10,7.0,0.1989,300.6108,367.5166
c1355,36.6370,-119.3629,2030,10,7.0,5.9966,288.8588,552.7473
c1374,36.6370,-118.7657,2030,10,7.0,3.2528,288.2001,376.7594
c1394,36.6370,-118.1371,2030,10,7.0,0.0103,288.2890,255.9835
c155,35.8930,-119.3629,2031,10,8.0,6.6500,311.9975,506.1121
c174,35.8930,-118.7657,2031,10,8.0,4.3971,312.6925,379.1802
c194,35.8930,-118.1371,2031,10,8.0,0.0695,312.1333,301.2250
c755,36.2650,-119.3629,2031,10,8.0,7.9782,299.7879,533.3936
c774,36.2650,-118.7657,2031,10,8.0,3.5787,300.7766,423.7862
c794,36.2650,-118.1371,2031,10,8.0,0.1993,299.9286,270.2541
c1355,36.6370,-119.3629,2031,10,8.0,6.8489,288.8652,516.3356
c1374,36.6370,-118.7657,2031,10,8.0,3.2648,288.3007,329.1685
c1394,36.6370,-118.1371,2031,10,8.0,0.1680,288.2581,375.7445
c155,35.8930,-119.3629,2032,10,9.0,7.4630,312.8490,554.7706
c174,35.8930,-118.7657,2032,10,9.0,4.4265,312.2987,344.8221
c194,35.8930,-118.1371,2032,10,9.0,0.0723,312.3347,305.2761
c755,36.2650,-119.3629,2032,10,9.0,8.9538,300.6648,505.7476
c774,36.2650,-118.7657,2032,10,9.0,3.6492,301.1895,356.9469
c794,36.2650,-118.1371,2032,10,9.0,0.1994,300.1228,235.4717
c1355,36.6370,-119.3629,2032,10,9.0,7.6443,286.8449,527.9495
c1374,36.6370,-118.7657,2032,10,9.0,3.3295,288.1498,358.3306
c1394,36.6370,-118.1371,2032,10,9.0,0.1727,288.6205,313.4058
c155,35.8930,-119.3629,2033,10,10.0,8.2902,311.7523,485.2286
c174,35.8930,-118.7657,2033,10,10.0,4.6552,312.6298,384.0675
c194,35.8930,-118.1371,2033,10,10.0,0.0725,312.5002,254.6936
c755,36.2650,-119.3629,2033,10,10.0,9.9527,299.8213,565.2759
c774,36.2650,-118.7657,2033,10,10.0,3.6917,300.3483,347.8149
c794,36.2650,-118.1371,2033,10,10.0,0.1998,301.1691,271.2024
c1355,36.6370,-119.3629,2033,10,10.0,8.4930,288.6053,514.7373
c1374,36.6370,-118.7657,2033,10,10.0,3.3898,288.4312,357.0962
c1394,36.6370,-118.1371,2033,10,10.0,0.1727,288.0909,235.5746
c155,35.8930,-119.3629,2034,10,11.0,9.1106,312.5544,484.5411
c174,35.8930,-118.7657,2034,10,11.0,5.0238,312.0967,396.3104
c194,35.8930,-118.1371,2034,10,11.0,0.0758,312.5498,307.8630
c755,36.2650,-119.3629,2034,10,11.0,10.9473,301.3875,507.9041
c774,36.2650,-118.7657,2034,10,11.0,4.0205,300.9086,387.6721
c794,36.2650,-118.1371,2034,10,11.0,0.1999,299.4554,247.6610
c1355,36.6370,-119.3629,2034,10,11.0,9.3494,288.6861,479.1722
c1374,36.6370,-118.7657,2034,10,11.0,3.7322,288.5175,393.1379
c1394,36.6370,-118.1371,2034,10,11.0,0.1728,288.7790,235.7578
c155,35.8930,-119.3629,2035,10,12.0,9.9137,313.2287,494.9720
c174,35.8930,-118.7657,2035,10,12.0,5.0946,313.0858,361.0547
c194,35.8930,-118.1371,2035,10,12.0,0.0759,312.7692,249.9040
c755,36.2650,-119.3629,2035,10,12.0,11.9149,300.3411,453.7766
c774,36.2650,-118.7657,2035,10,12.0,4.5597,300.6323,404.9804
c794,36.2650,-118.1371,2035,10,12.0,0.2001,301.0924,255.4650
c1355,36.6370,-119.3629,2035,10,12.0,10.1885,288.8917,479.5969
c1374,36.6370,-118.7657,2035,10,12.0,4.3413,288.0619,413.3471
c1394,36.6370,-118.1371,2035,10,12.0,0.1745,289.0852,296.0614
c155,35.8930,-119.3629,2036,10,13.0,10.7576,312.0077,534.2824
c174,35.8930,-118.7657,2036,10,13.0,5.4858,313.3001,398.5876
c194,35.8930,-118.1371,2036,10,13.0,0.0789,313.0130,307.0217
c755,36.2650,-119.3629,2036,10,13.0,12.9476,301.1874,519.0100
c774,36.2650,-118.7657,2036,10,13.0,5.4584,300.5451,435.8878
c794,36.2650,-118.1371,2036,10,13.0,0.2011,300.5562,284.4456
c1355,36.6370,-119.3629,2036,10,13.0,11.0470,288.7979,513.0697
c1374,36.6370,-118.7657,2036,10,13.0,4.4708,288.7723,371.1573
c1394,36.6370,-118.1371,2036,10,13.0,0.1747,288.2141,262.7742
c155,35.8930,-119.3629,2037,10,14.0,11.5931,311.9253,495.0237
c174,35.8930,-118.7657,2037,10,14.0,5.6038,313.0291,370.6282
c194,35.8930,-118.1371,2037,10,14.0,0.0796,311.8550,279.9540
c755,36.2650,-119.3629,2037,10,14.0,13.9617,300.4736,492.6623
c774,36.2650,-118.7657,2037,10,14.0,5.6777,300.2162,378.5752
c794,36.2650,-118.1371,2037,10,14.0,0.2107,301.2665,322.7497
c1355,36.6370,-119.3629,2037,10,14.0,11.9061,289.0111,485.4859
c1374,36.6370,-118.7657,2037,10,14.0,5.0447,288.4587,412.1693
c1394,36.6370,-118.1371,2037,10,14.0,0.1747,288.7147,227.3396
c155,35.8930,-119.3629,2038,10,15.0,12.4311,312.1503,541.0954
c174,35.8930,-118.7657,2038,10,15.0,5.6791,312.7414,362.0294
c194,35.8930,-118.1371,2038,10,15.0,0.0797,312.4846,248.4748
c755,36.2650,-119.3629,2038,10,15.0,14.9771,300.6714,537.1902
c774,36.2650,-118.7657,2038,10,15.0,6.5940,300.9156,439.7830
c794,36.2650,-118.1371,2038,10,15.0,0.2139,300.9979,304.8463
c1355,36.6370,-119.3629,2038,10,15.0,12.7345,288.3361,482.6837
c1374,36.6370,-118.7657,2038,10,15.0,5.7914,289.0829,430.7845
c1394,36.6370,-118.1371,2038,10,15.0,0.1776,288.3899,305.2971
c155,35.8930,-119.3629,2039,10,16.0,13.2828,312.2571,591.6954
c174,35.8930,-118.7657,2039,10,16.0,6.0428,312.3391,395.3268
c194,35.8930,-118.1371,2039,10,16.0,0.0804,312.9671,282.5128
c755,36.2650,-119.3629,2039,10,16.0,15.9774,300.7678,493.6971
c774,36.2650,-118.7657,2039,10,16.0,7.2283,301.1691,408.7698
c794,36.2650,-118.1371,2039,10,16.0,0.2162,300.7133,298.3128
c1355,36.6370,-119.3629,2039,10,16.0,13.6071,289.3819,534.7123
c1374,36.6370,-118.7657,2039,10,16.0,6.2421,289.0131,401.5277
c1394,36.6370,-118.1371,2039,10,16.0,0.1778,288.3855,257.9473
c155,35.8930,-119.3629,2040,10,17.0,14.1091,312.4991,499.7492
c174,35.8930,-118.7657,2040,10,17.0,6.1907,312.8144,374.8442
c194,35.8930,-118.1371,2040,10,17.0,0.0826,312.7159,301.5898
c755,36.2650,-119.3629,2040,10,17.0,16.9647,300.6198,513.7600
c774,36.2650,-118.7657,2040,10,17.0,7.3737,300.9497,370.3120
c794,36.2650,-118.1371,2040,10,17.0,0.2294,300.3049,328.1675
c1355,36.6370,-119.3629,2040,10,17.0,14.4523,288.5555,546.4729
c1374,36.6370,-118.7657,2040,10,17.0,6.4785,289.0743,384.4183
c1394,36.6370,-118.1371,2040,10,17.0,0.1875,288.5356,325.3358
c155,35.8930,-119.3629,2041,10,18.0,14.9370,312.3635,531.3719
c174,35.8930,-118.7657,2041,10,18.0,6.7477,312.4377,413.2690
c194,35.8930,-118.1371,2041,10,18.0,0.0849,313.7373,303.2321
c755,36.2650,-119.3629,2041,10,18.0,17.9384,300.4012,488.1590
c774,36.2650,-118.7657,2041,10,18.0,7.5397,301.0088,373.6275
c794,36.2650,-118.1371,2041,10,18.0,0.2297,300.3550,262.3982
c1355,36.6370,-119.3629,2041,10,18.0,15.3304,288.7249,564.3106
c1374,36.6370,-118.7657,2041,10,18.0,7.3551,289.2199,501.3049
c1394,36.6370,-118.1371,2041,10,18.0,0.1892,288.8032,296.9431
c155,35.8930,-119.3629,2042,10,19.0,15.7752,312.1866,568.5812
c174,35.8930,-118.7657,2042,10,19.0,6.8726,312.6472,371.2482
c194,35.8930,-118.1371,2042,10,19.0,0.0865,313.5790,296.1120
c755,36.2650,-119.3629,2042,10,19.0,18.9433,300.8241,516.4917
c774,36.2650,-118.7657,2042,10,19.0,8.3385,301.1940,422.5825
c794,36.2650,-118.1371,2042,10,19.0,0.2297,300.8916,240.9423
c1355,36.6370,-119.3629,2042,10,19.0,16.1868,288.7947,468.6029
c1374,36.6370,-118.7657,2042,10,19.0,7.5145,288.6557,375.6532
c1394,36.6370,-118.1371,2042,10,19.0,0.1916,289.1803,301.1901
c155,35.8930,-119.3629,2043,10,20.0,16.6002,312.8316,544.3628
c174,35.8930,-118.7657,2043,10,20.0,6.9053,313.2939,347.0657
c194,35.8930,-118.1371,2043,10,20.0,0.0866,312.8263,248.4953
c755,36.2650,-119.3629,2043,10,20.0,19.9557,300.8773,562.7797
c774,36.2650,-118.7657,2043,10,20.0,8.9794,301.0787,410.7311
c794,36.2650,-118.1371,2043,10,20.0,0.2367,301.3087,317.8360
c1355,36.6370,-119.3629,2043,10,20.0,17.0605,289.6896,463.1198
c1374,36.6370,-118.7657,2043,10,20.0,8.3587,288.8051,456.0822
c1394,36.6370,-118.1371,2043,10,20.0,0.1918,289.0367,261.5318
c155,35.8930,-119.3629,2044,10,21.0,17.4378,312.0856,572.8514
c174,35.8930,-118.7657,2044,10,21.0,7.1416,313.2908,385.1986
c194,35.8930,-118.1371,2044,10,21.0,0.0873,313.4042,282.6064
c755,36.2650,-119.3629,2044,10,21.0,20.9377,301.0298,537.0104
c774,36.2650,-118.7657,2044,10,21.0,9.2899,301.4754,385.9502
c794,36.2650,-118.1371,2044,10,21.0,0.2367,300.8577,239.5939
c1355,36.6370,-119.3629,2044,10,21.0,17.9217,289.0975,465.6863
c1374,36.6370,-118.7657,2044,10,21.0,8.3822,288.5151,340.2204
c1394,36.6370,-118.1371,2044,10,21.0,0.1920,289.9090,257.8384
c155,35.8930,-119.3629,2045,10,22.0,18.2453,312.4830,561.4158
c174,35.8930,-118.7657,2045,10,22.0,7.8686,313.1911,441.8371
c194,35.8930,-118.1371,2045,10,22.0,0.0873,313.1564,221.0991
c755,36.2650,-119.3629,2045,10,22.0,21.9103,301.3150,478.0887
c774,36.2650,-118.7657,2045,10,22.0,9.2964,301.1996,316.2015
c794,36.2650,-118.1371,2045,10,22.0,0.2389,300.8842,297.9096
c1355,36.6370,-119.3629,2045,10,22.0,18.8029,289.0876,556.9771
c1374,36.6370,-118.7657,2045,10,22.0,9.2741,289.2382,476.4580
c1394,36.6370,-118.1371,2045,10,22.0,0.2007,288.2159,323.6948
c155,35.8930,-119.3629,2046,10,23.0,19.0138,313.1423,447.3506
c174,35.8930,-118.7657,2046,10,23.0,7.9321,313.2360,359.1532
c194,35.8930,-118.1371,2046,10,23.0,0.0880,313.0942,283.2795
c755,36.2650,-119.3629,2046,10,23.0,22.9184,301.7920,543.3898
c774,36.2650,-118.7657,2046,10,23.0,9.8444,301.5664,403.8736
c794,36.2650,-118.1371,2046,10,23.0,0.2427,301.2757,307.9606
c1355,36.6370,-119.3629,2046,10,23.0,19.6430,289.5101,458.9494
c1374,36.6370,-118.7657,2046,10,23.0,9.2866,289.0906,329.5295
c1394,36.6370,-118.1371,2046,10,23.0,0.2327,289.3275,345.6352
c155,35.8930,-119.3629,2047,10,24.0,19.8408,312.6905,509.0184
c174,35.8930,-118.7657,2047,10,24.0,8.5624,314.0271,424.8528
c194,35.8930,-118.1371,2047,10,24.0,0.0883,312.8892,270.0883
c755,36.2650,-119.3629,2047,10,24.0,23.9134,301.5891,528.8216
c774,36.2650,-118.7657,2047,10,24.0,10.7385,300.3689,434.4368
c794,36.2650,-118.1371,2047,10,24.0,0.2966,301.3773,352.2674
c1355,36.6370,-119.3629,2047,10,24.0,20.5099,289.2850,511.4842
c1374,36.6370,-118.7657,2047,10,24.0,9.9973,288.9446,428.6568
c1394,36.6370,-118.1371,2047,10,24.0,0.2395,288.8184,319.2184
c155,35.8930,-119.3629,2048,10,25.0,20.6332,313.4540,496.3686
c174,35.8930,-118.7657,2048,10,25.0,9.2059,313.0818,424.8985
c194,35.8930,-118.1371,2048,10,25.0,0.0955,313.6244,321.4730
c755,36.2650,-119.3629,2048,10,25.0,24.8931,301.1542,473.1311
c774,36.2650,-118.7657,2048,10,25.0,10.9130,301.1951,374.2618
c794,36.2650,-118.1371,2048,10,25.0,0.3166,301.1413,335.5938
c1355,36.6370,-119.3629,2048,10,25.0,21.3899,289.1845,566.0509
c1374,36.6370,-118.7657,2048,10,25.0,10.1359,289.2641,372.0701
c1394,36.6370,-118.1371,2048,10,25.0,0.2396,289.4376,243.5978
c155,35.8930,-119.3629,2049,10,26.0,21.4105,313.4115,484.3916
c174,35.8930,-118.7657,2049,10,26.0,9.5571,313.8443,396.1847
c194,35.8930,-118.1371,2049,10,26.0,0.0957,312.9732,262.5769
c755,36.2650,-119.3629,2049,10,26.0,25.9106,300.9178,508.6887
c774,36.2650,-118.7657,2049,10,26.0,11.8702,300.6180,457.7403
c794,36.2650,-118.1371,2049,10,26.0,0.4609,300.8778,370.6749
c1355,36.6370,-119.3629,2049,10,26.0,22.2576,289.6357,577.5066
c1374,36.6370,-118.7657,2049,10,26.0,10.9741,289.4198,455.7669
c1394,36.6370,-118.1371,2049,10,26.0,0.2396,289.4990,236.6064
c155,35.8930,-119.3629,2050,10,27.0,22.1932,313.5363,494.0915
