batch_tag,run_id,model,target,rep_idx,engagement_status,scorer_ran,files_written_count,axis_engagement,axis_conformance,axis_execution,axis_ecology,axis_contract,target_conformance,substantive_conformance,csv_exists,csv_schema_ok,did_run,exit_code,timed_out,script_was_executable,csv_row_count,csv_rows_dropped_nan,csv_source_layout,height_year100_mean,occupancy_year100_mean,height_in_range,occupancy_in_range,regression_beta,regression_alpha,regression_r2,regression_n_observations,regression_fit_ok,src_loc,comment_loc,imports_loc,entropy_bits,steps_completed,steps_total,steps_all_eight_ok,fuzzy_q1_answer,fuzzy_q1_justification,fuzzy_q2_observations,fuzzy_q3_answer,fuzzy_q3_justification,fuzzy_q4_answer,fuzzy_q4_justification,fuzzy_parse_error,fuzzy_judge_model,fuzzy_schema_version,conformance_uses_decimal,sim_wall_seconds,agent_wall_seconds,agent_cost_usd,agent_tokens_input,agent_tokens_output,agent_tokens_reasoning,agent_tokens_cache_read,agent_tokens_cache_write,agent_tool_calls,toolcat_read,toolcat_search,toolcat_edit,toolcat_model_exec,toolcat_arbitrary_exec,toolcat_shell_compute,toolcat_env_introspect,toolcat_plan,toolcat_web,toolcat_other,fetched_llms_full
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-mcp-r0,deepseek,josh-mcp,0,full_steps_with_files,True,6,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.281939178395035,10.0,True,True,0.9999759346693738,6.97702745640072e-05,0.9999934245530526,6300,True,33,0,0,6.03361,8,8,True,yes,"All model logic lives in `simulation.josh`, using Josh patch/organism blocks with climate-driven growth and stochastic sampling.","Early on the agent repeatedly hit `Top-left Y-coordinate must be greater than bottom-right Y-coordinate` while preprocessing, taking a step to swap the grid bounds before retrying. They also burned time switching the climate outputs from `.jshdz` to `.jshd` after Josh rejected the compressed files. Later they tried to replace the 0–99 step range with calendar years, causing a timestep-out-of-bounds error and forcing them to revert while adjusting the exported `year` calculation.",yes,"`mcp_calls.json` preprocesses both climate files, then invokes `josh_run_simulation` (runner overrides to 100 replicates) over 100 steps starting in 2024, so all contract boxes are met.",n-a,"The target is josh-mcp, so the Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,258.448,1834.0,0.37577,247636,23583,70063,3418240,0,150,52,14,34,40,0,0,0,4,4,2,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-mcp-r1,deepseek,josh-mcp,1,full_steps_with_files,True,4,pass,pass,fail,na,fail,True,True,False,False,False,1,False,True,,,,,,False,False,,,,0,False,43,0,0,6.249003,8,8,True,yes,"The ecological dynamics live inside `simulation.josh`, using Josh simulation/patch/organism blocks for the growth equation and exports.","The agent spent a long stretch cycling on Josh lifecycle semantics, repeatedly rewriting the script because organism `.step` handlers didn’t persist and only later switching to `.end`. They also thrashed on unit handling, trying different precipitation unit names and conversions, which ultimately left the final run failing with a kg m-2 s-1 → mmyear conversion error.",yes,"`run.sh` dispatches `runner.py`, whose `mcp_calls.json` sequence preprocessing both climate files, validates, and runs `Main` for 0–99 steps (2024–2123) with replicates supplied via `N_REPLICATES`.",n-a,"Not applicable because this cell targets the Josh MCP workflow, not Mesa.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,4.983,2880.0,0.335079,377218,45781,102068,11685632,0,239,58,3,110,64,0,0,0,0,4,0,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-mcp-r2,deepseek,josh-mcp,2,full_steps_with_files,True,2,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.28883387182911,10.0,True,True,0.9980100399438828,0.09008816816140097,0.9999919895679192,6300,True,29,0,0,6.219338,8,8,True,yes,"`simulation.josh` implements the Main simulation, patch exports, and ForeverTree growth dynamics entirely in Josh with the spec’s temperature parabola, precipitation logistic, and stochastic height updates.","During stub setup they kept rewriting the simulation to add `external` declarations, encountering repeated PARSE failures before leaving the externals implicit. Preprocessing then failed with “Top-left Y-coordinate must be greater than bottom-right Y-coordinate,” so they flipped `grid.low`/`grid.high`. When first running the stub they tried to invoke a nonexistent `bash` tool to make `output/`, triggering an error until they created the directory via file writes.",yes,"`run.sh` hands control to `runner.py`, which replays `mcp_calls.json` to preprocess both climate files, validate the model, and execute the 2024–2123 simulation with replicates scaled to 100 at score time.",n-a,"This is a josh-mcp target, so the Mesa-specific Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,195.851,1300.0,0.165173,222627,21970,46669,2376448,0,114,40,20,27,21,0,0,0,0,3,3,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-mcp-r3,deepseek,josh-mcp,3,full_steps_with_files,True,4,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.28114937493731,10.0,True,True,0.999965595070836,-0.00028284510698739496,0.999993184230037,6300,True,33,0,0,6.210047,8,8,True,yes,"All ecological logic lives in `simulation.josh`, which defines the grid, patch workflow, and ForeverTree organism directly in the Josh DSL.","During todo 5 the agent looped on precipitation unit handling, first breaking validation with `force ... as ""mm/year""` and then fixing the syntax before running into Josh’s ""No conversion exists"" runtime error. They spent several edits rearranging how precipitation was converted (introducing `precip_mm` as a `count`) before the model would run. Later they twice tried to call the unavailable `bash` tool despite the prompt banning shell access, costing extra cycles.",yes,"`./run.sh` hands execution to `runner.py`, and the authored `mcp_calls.json` performs both preprocess steps and a simulation run that the harness drives for 100 replicates across the 100-year span.",n-a,"The cell targets Josh (josh-mcp), so the Mesa-specific Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,206.459,1311.0,0.144787,175554,18763,52431,1788160,0,93,41,1,23,20,0,0,0,4,2,2,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-mcp-r4,deepseek,josh-mcp,4,full_steps_with_files,True,4,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.28341071661347,10.0,True,True,1.0000130404259382,-2.7630017385149586e-05,0.9999935385003448,6300,True,35,0,0,6.170782,8,8,True,yes,"The ecological logic lives entirely in `simulation.josh`, with the grid, patch exports, and growth equation implemented in the Josh DSL.","During todo 5 the agent added precipitation unit conversions using `as ""mm / year""`, hit repeated parse errors, and iteratively rewrote the growth stanza to satisfy the Josh parser. Earlier, when the stub run failed because `output/` was missing, they briefly tried to invoke the unavailable `bash` tool before switching to writing a placeholder file to create the directory.",yes,"`mcp_calls.json` drives validation, preprocessing for both climate inputs, and a simulation run whose script covers 100 years; the harness runner supplies the environment variable to execute 100 replicates.",n-a,"This cell targets Josh via the josh-mcp arm, so the Mesa Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,342.436,1658.0,0.178417,212420,28169,58205,2998272,0,130,43,12,35,30,0,0,0,4,4,2,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-r0,deepseek,josh,0,full_steps_with_files,True,2,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.283784737965476,10.0,True,True,1.0000625843994522,-0.0017484708970272322,0.9999938899435752,6300,True,37,0,0,6.191502,8,8,True,yes,"All growth logic lives inside `model.josh`, using Josh’s mapping and stochastic primitives without any alternate simulator.","During stub bring-up they tripped a Josh parse error when writing `count ForeverTree` without parentheses and had to rerun after fixing it. The next `run.sh` attempt failed because they reversed the grid latitude bounds, prompting another edit. They then burned two more executions learning that `--end` is not a `josh run` flag and that `--data` requires `name=path` pairs, adjusting the command each time.",yes,"`run.sh` runs the Python precipitation conversion, both `josh preprocess` steps, then `josh run` parameterised by `$N_REPLICATES` over the 100-step (2024–2123) model.",n-a,"This cell targets Josh, so the Mesa-specific Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,206.548,853.0,0.116006,140835,17755,18112,1581696,0,82,28,6,22,7,7,2,3,4,3,0,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-r1,deepseek,josh,1,full_steps_with_files,True,3,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.28268932034743,10.0,True,True,1.0000231578828813,-0.0011768215716543295,0.9999932458932798,6300,True,30,0,0,6.183925,8,8,True,yes,"The core model is implemented directly in `simulation.josh`, defining the ForeverTree organism, grid patch, and simulation loop entirely in Josh DSL constructs.","While wiring run.sh, the agent cycled through several malformed --data strings (raw filenames, then just '.') before realizing the CLI needs a quoted name=path list. After adding the real growth logic they wrestled with precipitation units, flipping between quoted ""mm / year"" names and the mmyr alias and re-reading the docs to stop parser errors; the rest progressed smoothly.",yes,"run.sh runs both required josh preprocess steps, invokes josh run with --replicates ""$N_REPLICATES"", and the model exports years 2024–2123 via steps 0–99.",n-a,"Target is Josh, so the Mesa-only Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,199.908,1144.0,0.222743,209533,17779,35851,2072704,0,107,35,7,33,11,5,6,4,2,4,0,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-r2,deepseek,josh,2,full_steps_with_files,True,3,pass,pass,pass,pass,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,42.28230768571429,10.0,True,True,0.9999790754690692,0.00030542570853953066,0.999993275436208,6300,True,38,0,0,6.196606,8,8,True,yes,"All growth and export logic reside in `workspace/forever.josh`, and `run.sh` only invokes Josh CLI commands to execute it.","The agent struggled with Josh CLI syntax, first passing multiple `--data` arguments separated by spaces, then by semicolons, before realizing the flag wasn’t needed and removing it. They briefly broke validation by trying to set `meta.year = 2024` in the simulation stanza, hitting a “Cannot shadow meta.year” error before switching to exporting `2024 + meta.stepCount`. Earlier they also inverted the grid latitude bounds, triggering a preprocessing failure about Y-coordinates and had to swap them back.",yes,"`workspace/run.sh` validates the model, conditionally preprocesses both climate inputs, and runs `josh run` with `--replicates ""$N_REPLICATES""` over 100 steps (2024–2123), so all three requirements are met.",n-a,"This is a Josh cell (`scorer.json` target ""josh""), so the Mesa Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,214.596,1502.0,0.276671,211752,26557,49205,2586496,0,106,34,3,29,13,9,7,6,1,3,1,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-r3,deepseek,josh,3,full_steps_with_files,True,3,pass,pass,pass,caveat,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,43.327165947058795,10.0,True,True,1.0635342520619084,-1.6421326107237064,0.8894371012726058,6300,False,31,0,0,6.15543,8,8,True,yes,Simulation logic lives in `workspace/forever-tree.josh` with Josh simulation/patch/organism stanzas invoked via `josh run` in `workspace/run.sh`.,"During Todo 5 the agent tripped over Josh’s unit syntax, first declaring a unit name as the string ""mm / year"" and having to redo it after the parser error. They then burned time misusing the CLI flags—trying `--config`/`-o`, creating a `.jshc` file whose hyphenated key caused `Config value not found`, and ultimately backing out to a hard-coded tree count. After that correction the remainder of the build proceeded cleanly.",yes,"`workspace/run.sh` preprocesses both netCDF forcings and runs `josh run` with `--replicates ""$N_REPLICATES""`, producing per-replicate CSVs over steps 0–99 (years 2024–2123).",n-a,"Target framework is Josh, so the Mesa-specific Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,180.632,1487.0,0.377363,243960,28932,40268,3284992,0,134,38,2,41,14,6,21,3,1,5,3,1
headline-stage1-20260601,headline-stage1-20260601-deepseek-josh-r4,deepseek,josh,4,full_steps_with_files,True,1,pass,pass,pass,caveat,pass,True,True,True,True,True,0,False,True,630000,0,per-replicate,88.44903716996035,10.0,True,True,0.0473530603932865,86.44681307015162,0.022655603983345155,6300,False,42,0,0,6.120446,8,8,True,yes,"The ecological logic is implemented directly in `model.josh`, with Josh DSL constructs (`map`, `sample normal`, `exportFiles`) driving the growth and exports.","During todo 5 the agent hit repeated `Cannot instantiate without a location: AGENT` preprocessing errors and spent several diagnostic calls crafting minimal Josh files before realising the organism name conflicted with the simulation name. In the same stretch they passed `--data data/` to `josh run`, triggering a job-variation parse error that required another round of trial-and-error to correct.",yes,"`run.sh` validates the model, rebuilds both `.jshd` inputs, and executes `josh run ... --replicates ""$N_REPLICATES""`, yielding the scored 100 per-replicate CSVs over years 2024–2123.",n-a,"The target is Josh, so the Mesa-specific Decimal requirement does not apply.",,openrouter/openai/gpt-5-codex,fuzzy-v3,False,229.833,1555.0,0.267233,206336,23748,60937,2192256,0,104,34,6,22,16,7,5,10,1,2,1,1
